Question ID,max_marks,full_question,solution,student_answer,Correct marks,AI Marks,AI Confidence,AI Marker's Summarised Explanation,AI Marker's Staged Explanation,rubric_json,extracted_marking_guideline
a001,1,"The figure below is made up of a semi-circle and a rectangle. A
smaller circle fits in the middle of the semi-circle. 2 quarter
circles are enclosed within the rectangle. Find the area of the
unshaded region. (Take $\pi$ to be $\frac{22}{7}$)<br>The use of calculators is NOT allowed.

![Image](https://storage.googleapis.com/geniebook/images/question/Default Folder/10985a_qsn_img_0_1656902857.svg)","Area of 2 big quarter circles of radius 14 cm 
$= \frac{1}{2} \pi r^{2} $
$= \frac{1}{2} \times \frac{22}{7} \times$ 14 cm $\times$ 14 cm 
$=$ 308  cm$^{2}$
Area of small circle of radius 7 cm $= \pi r^{2}$  
$= \frac{22}{7} \times$ 7 cm $\times$ 7 cm $=$ 154  cm$^{2}$
Total area of the unshaded region 
$=$ 308 cm$^2$ $+$ 154 cm$^2$ 
$=$ 462 cm$^{2} $

Ans: 462 cm$^2$",\(462 cm^{2}\),1,1,High Confidence,"The final answer is fully correct: 462 cm² matches the required value and unit, and it’s clearly presented with no formatting issues.","Final answer step summary: The area of the unshaded region is 462 cm².
Marker's rationale: The student's answer matches the solution because the numerical value (462) is identical to the required answer, includes the correct unit cm², and is clearly presented without any format errors.","[
  {
    ""step_code"": ""Final answer"",
    ""step_summary"": ""The area of the unshaded region is 462 cm\u00b2."",
    ""evidence_required"": ""462 cm\u00b2"",
    ""mark_value"": ""1"",
    ""units_required"": ""cm\u00b2""
  }
]","The following rules from the Full Marking Guideline may be invoked when grading students’ answers to this “area of composite figure – no-calculator” question. Section / rule numbers are kept exactly as in the original document.

B) General marking standards  
1. All fractions and ratios must be left in the simplest form unless otherwise stated.  
2. All improper fractions must be converted to mixed numbers unless otherwise stated.  
3. All answers must be precise and exact unless otherwise stated.

C) Common presentation errors  
1. Inappropriate use of equal signs … will be penalized.  
5. Redundancy – Leading zero, trailing zero, and zero place holders … will be penalized.  
12. Labelling for geometry questions needs to strictly follow the question. When the given letters are in capital form, the answers given by students have to also be in capital letter.

D) Units related marking  
1. Angles without a degree sign will be marked down. (Relevant if any angle values are stated.)  
6. The usage of S and c for dollars and cents is acceptable. (Not directly relevant here but governs unit presentation in general.)  
8. Years are considered as units and will be treated accordingly. (General unit guidance.)

E) Alternative format provided by students  
2. Powers in units  
   Original form: cm²  
   - cm2 (Correct)  
   - cm^2 (Correct)  
   - cm square (Correct)  
   - square cm (Correct)  
   - ^cm2 (Wrong)

G) No calculator questions  
When the question states 'Show your working clearly', students' final answer step must include working.

H) Others  
2. If the question is 'what is the number of triangles shaded', we will mark down if students give fractions instead. (By extension, if an exact area is required, giving an unrelated form would be penalised.)

These copied rules cover fraction/precision requirements, correct unit notation for area (cm² variations), proper use of equal signs, avoidance of redundant zeros, geometric labelling, and the obligation to show working in this no-calculator context."
a002,1,"In the figure below, not drawn to scale, G is the centre of the circle.
AB, CD, DE, EF are straight lines. $\small \angle$CGE is twice the size of $\small \angle$AGC. $\small \angle$ABD $= $ 123$^\circ$.

![Image](https://storage.googleapis.com/geniebook/images/question/Default Folder/30839des1_qsn_img_0_1391523382.png)

[Question]
<html><head></head><body><p>Name the angle which has the same size as $\angle$CAG.</p></body></html>",Ans$:$ $\angle$GCA or $\angle$ACG,gca,0,0,High Confidence,"Although the named angle is mathematically correct, the response uses lowercase letters where capitals are required, so formatting criteria fail and the final answer is marked incorrect.","Final answer step summary: The angle equal to ∠CAG is named as ∠GCA or ∠ACG.
Marker's rationale: The student's answer does not match the solution because, although it names the correct angle (Criteria 1) and no units are needed (Criteria 2), the letters are written in lowercase. Geometry labels given in the question are capital letters, so per the marking guideline the required format is not followed, failing Criteria 3.","[
  {
    ""step_code"": ""Final answer"",
    ""step_summary"": ""The angle equal to \u2220CAG is named as \u2220GCA or \u2220ACG."",
    ""evidence_required"": ""\u2220GCA or \u2220ACG"",
    ""mark_value"": ""1"",
    ""units_required"": ""none""
  }
]","C) Common presentation errors  
12. Labelling for geometry questions needs to strictly follow the question. When the given letters are in capital form, the answers given by students have to also be in capital letter.  
 E.g.  
 - AB (correct)  
 - ab (wrong)  
 - ∠ABC (correct)  
 - ∠abc (wrong)  
 - angle ABC (correct)  
 - angle abc (wrong)  
  For one-letter angle form, small letters are acceptable.  
  E.g.  
  - ∠y (correct)  
  - ∠Y (correct)"
a003,1,Find the value of 2$\frac{3}{4}$ $\div$ 3.  Express your answer as a fraction in its simplest form.,"2$\frac{3}{4}$ $\div$ 3

$=$ $\frac{11}{4}$ $\div$ 3

$=$ $\frac{11}{4}$ $\times$ $\frac{1}{3}$

$=$ $\frac{11}{12}$

Ans: $\frac{11}{12}$",$\frac{11}{12}$,1,1,High Confidence,"The answer 11/12 exactly matches the required value, needs no units, and is in simplest fractional form, so it is fully correct.","Final answer step summary: The final answer is 11/12.
Marker's rationale: The student's answer matches the solution because the final value is exactly 11/12, no units are needed, and it is given as a fraction in simplest form.","[
  {
    ""step_code"": ""Final answer"",
    ""step_summary"": ""The final answer is 11/12."",
    ""evidence_required"": ""11/12"",
    ""mark_value"": ""1"",
    ""units_required"": ""none""
  }
]","Relevant rules for grading this question:

B) General marking standards  
1. All fractions and ratios must be left in the simplest form unless otherwise stated.  
2. All improper fractions must be converted to mixed numbers unless otherwise stated.  
3. All answers must be precise and exact unless otherwise stated.  

C) Common presentation errors  
1. Inappropriate use of equal signs  
   E.g.  
   - 40% = $300 (wrong)  
   - 4/10 = $300 (wrong)  
   - 0.4 = $300 (wrong)  
   - 3/4 = 4/5 (wrong)  
   - 7/11 = 0.636 (wrong)  
   - 7/11 ≈ 0.64 (correct)  

9. The usage of : as a replacement of ÷ is acceptable  
   E.g.  
   - 10 : 2 = 5 (correct)  

E) Alternative format provided by students  

1. Fractions  
   Original answer: 1 2/3  
   - 1 2/3 (Correct)  
   - 1 2 (Correct)  
   - 1 and 2 out of 3 (Correct)  
   - 1 and 2 over 3 (Correct)  
   - 12/3 (Wrong)  
   - 1/2/3 (Wrong)"
a004,1,"[Previous Question Part]
Question Part 1:
In 816, the digit in the hundreds place is __________.
Question Part 2:
In 987, the digit in the tens place is ________.
Question Part 3:
In 463, the value of the digit 4 is ________.
Question Part 4:
In 388, the value of the digit 3 is _________.
Question Part 5:
In 897, the digit 9 is in the ____________ place.

[Question]
In 108, the digit 1 is in the ____________ place.",hundreds,hundred,0,0,Low Confidence,"The response says “hundred” instead of the required “hundreds,” which is not equivalent; despite clear presentation and no unit requirement, the answer fails on correctness.","Final answer step summary: The digit 1 is in the hundreds place.
Marker's rationale: The student's answer does not match the solution because the required phrase for the place value is “hundreds”. Writing “hundred” omits the necessary plural form and is considered a different term, so the answer is not equivalent (Criteria 1 = 0). No units are required (Criteria 2 = 1) and the response is clearly written (Criteria 3 = 1). Since not all criteria are met, the overall mark is 0.","[
  {
    ""step_code"": ""Final answer"",
    ""step_summary"": ""The digit 1 is in the hundreds place."",
    ""evidence_required"": ""hundreds"",
    ""mark_value"": ""1"",
    ""units_required"": ""none""
  }
]","Relevant rules for grading this question:

B) General marking standards  
3. All answers must be precise and exact unless otherwise stated.

C) Common presentation errors  
6. Grammar – No marks will be deducted for grammar errors unless it is numbers-to-word questions."
a005,2,"Ellyn used half of the water in Container A to fill up 3 jars
completely. The capacity of each jar is 475 m$\small\ell$. Find the
capacity of Container A. Give your answer in litres and
millilitres.

![Image](https://storage.googleapis.com/geniebook/images/question/Default Folder/53386a_qsn_img_0_1518928900.png)","Volume of 3 such jars $=$ 475 m$\small\ell$ $\times$ 3 $=$ 1425
m$\small\ell$

Capacity of container A $=$ 1425 m$\small\ell$ $\times$ 2 $=$ 2850
m$\ell$ $=$ 2 $\small\ell$ 850 m$\small\ell$

Ans: 2 $\ell$ 850 m$\ell$","475mL x 3 = 1425mL

1425mL = 1 L  425mL",1,1,High Confidence,"The student correctly completed S1 by computing the total water in three jars as 1425 mL, which matches the required evidence. However, the final answer was wrong: they stated Container A’s capacity as 1 L 425 mL instead of the required 2 L 850 mL. Despite this error in value (failing answer equivalence), the response used acceptable units (L/mL) and a clear format, so unit and presentation criteria were met. This aligns with the rubric and unit rules, yielding credit for S1 only and none for the incorrect final capacity.","S1 step summary: Find total volume of water in 3 jars.
Marker's rationale: The student's answer fully matches the solution because 1425 mL appears explicitly, satisfying the required evidence for this step.

Final answer step summary: State capacity of Container A in litres and millilitres.
Marker's rationale: The student's answer does not match the solution because the stated capacity (1 L 425 mL) is not mathematically equivalent to the required 2 L 850 mL, although correct units and acceptable format were used.","[
  {
    ""step_code"": ""S1"",
    ""step_summary"": ""Find total volume of water in 3 jars"",
    ""evidence_required"": ""1425 mL"",
    ""mark_value"": ""1"",
    ""units_required"": ""none""
  },
  {
    ""step_code"": ""Final answer"",
    ""step_summary"": ""State capacity of Container A in litres and millilitres"",
    ""evidence_required"": ""2 L 850 mL"",
    ""mark_value"": ""2"",
    ""units_required"": ""L and mL""
  }
]","Relevant rules to grade this question  

B) General marking standards  
1. All fractions and ratios must be left in the simplest form unless otherwise stated.  
2. All improper fractions must be converted to mixed numbers unless otherwise stated.  
3. All answers must be precise and exact unless otherwise stated.  

C) Common presentation errors  
5. Redundancy – Leading zero, trailing zero, and zero place holders  
   E.g.  
   - 8L 020 mL (wrong)  
   - 8L 20 mL (correct)  
   - 8020 mL (correct)  
   (…examples continue as in guideline…)  

D) Units related marking  
6. The usage of S and c for dollars and cents is acceptable. (Although for this question we expect “L”, “l”, “mL” or “ml”, this rule reminds markers that accepted unit abbreviations are permissible.)"
a006,2,"A group of 36 girls shared some beads.  After they had taken 79 beads each, there were 16 beads left.  How many beads were there at first?","
36 girls $=$ 36 $\times$ 79 $=$ 2844 beads

At first $=$ 2844 $+$ 16 $=$ 2860

Ans: 2860 beads",2860,2,2,High Confidence,"The final value 2860 is correct and clearly stated, but the necessary working for 2844 beads taken by the girls is absent, so only the final-answer marks are awarded.","S1 step summary: Find total beads taken by the 36 girls
Marker's rationale: The student's answer does not match the solution because the working showing 2844 beads (total taken) is absent.

Final answer step summary: Compute initial number of beads before sharing
Marker's rationale: The student's answer fully matches the solution because the final value 2860 is correct, no specific unit is required, and the answer is clearly stated without formatting issues.","[
  {
    ""step_code"": ""S1"",
    ""step_summary"": ""Find total beads taken by the 36 girls"",
    ""evidence_required"": ""2844 beads"",
    ""mark_value"": ""1"",
    ""units_required"": ""none""
  },
  {
    ""step_code"": ""Final answer"",
    ""step_summary"": ""Compute initial number of beads before sharing"",
    ""evidence_required"": ""2860 beads"",
    ""mark_value"": ""2"",
    ""units_required"": ""none""
  }
]","Below are the ONLY rules that could potentially be required when grading pupils’ responses to this particular question:

B) General marking standards  
3. All answers must be precise and exact unless otherwise stated.  

C) Common presentation errors  
1. Inappropriate use of equal signs  
   E.g.  
   - 40% = $300 (wrong)  
   … (examples show that using “=” in a chain that is not true is penalised).  
5. Redundancy – Leading zero, trailing zero, and zero place holders  
   E.g.  
   - 173.9 (correct)  
   - 173.90 (wrong) unless question specified 2 decimal places  
   (Commas in 4-digit numbers such as 2,860 are acceptable; unnecessary zeros are penalised.)

G) No calculator questions  
When the question states 'Show your working clearly', students' final answer step must include working."
a007,2,"<html><head></head><body><p>This is a net of a solid.</p></body></html>

![Image](https://attachment.srv.geniebook.com/api/v2/public/files/Q4mO2bu2deTrbDH8.svg)

[Previous Question Part]
Question Part 1:
<html><head></head><body><p>Name the solid that can be formed from the net.</p></body></html>

[Question]
<html><head></head><body><p>Which of the following solids can be formed from the net above?</p></body></html>

![Image](https://attachment.srv.geniebook.com/api/v2/public/files/xOGCQYZreqcoKIeS.svg)",Ans$:$ Solid D,Solid C and D,0,0,High Confidence,"The student selected both Solid C and Solid D; since the correct unique choice is Solid D, answer equivalence fails despite acceptable format and no unit requirement.","Final answer step summary: Identify the solid that matches the given net
Marker's rationale: The student's answer does not match the solution because although the format is acceptable and no units are required, the answer includes both Solid C and Solid D, which is not equivalent to the correct single answer Solid D.","[
  {
    ""step_code"": ""Final answer"",
    ""step_summary"": ""Identify the solid that matches the given net"",
    ""evidence_required"": ""Solid D"",
    ""mark_value"": ""2"",
    ""units_required"": ""none""
  }
]","Relevant rules to grade this question:

B) General marking standards  
3. All answers must be precise and exact unless otherwise stated.  

C) Common presentation errors  
6. Grammar – No marks will be deducted for grammar errors unless it is numbers-to-word questions  
12. Labelling for geometry questions needs to strictly follow the question. When the given letters are in capital form, the answers given by students have to also be in capital letter.  
    E.g.  
    - AB (correct)  
    - ab (wrong)  
    - ∠ABC (correct)  
    - ∠abc (wrong)  
    - angle ABC (correct)  
    - angle abc (wrong)  
      
    For one-letter angle form, small letters are acceptable.  
    E.g.  
    - ∠y (correct)  
    - ∠Y (correct)  

D) Units related marking  
7. Students mentioning the shape instead of drawing is acceptable unless the question is about drawing.  
    E.g.  
    - Square (correct)  
    - ⬛️ (correct)"
a008,2,"The diagram below shows the amount of money 4 children have.

![Image](https://storage.googleapis.com/geniebook/images/question/2/216331_qsn_img_00.svg)

Which two children have enough money to each buy a candy that costs
30¢?","Amount of money Chloe has  $=$ 50¢ $+$ 20¢ $+$ 10¢
 $=$ 80¢  
Amount of money Alex has  $=$ 10¢ $+$ 10¢ $+$ 5¢ 
 $=$ 25¢  
Amount of money Asher has $=$ 10¢ $+$ 5¢ $+$ 5¢ 
 $=$ 20¢  
Amount of money Adriel has  $=$ 20¢ $+$ 5¢ $+$ 5¢ 
 $=$ 30¢  
In order to be able to buy the candy, each child must have at least 30¢. Chloe and Adriel have at least 30¢. 
Ans$:$ Chloe and Adriel",adriel,1,0,High Confidence,"The individual totals for each child are not shown, and the final answer lists only Adriel rather than “Chloe and Adriel,” making the response incomplete though formatting is fine.","S1 step summary: Find the total amount of money each child has
Marker's rationale: The student's answer does not match the solution because no working showing the individual amounts (Chloe 80¢, Alex 25¢, Asher 20¢, Adriel 30¢) is provided.

Final answer step summary: State the two children who can each afford a 30¢ candy
Marker's rationale: The student's answer does not match the solution because it names only “Adriel” instead of both “Chloe and Adriel”. Units are not required and format is acceptable, but the essential answer is incomplete.","[
  {
    ""step_code"": ""S1"",
    ""step_summary"": ""Find the total amount of money each child has"",
    ""evidence_required"": ""Chloe 80\u00a2, Alex 25\u00a2, Asher 20\u00a2, Adriel 30\u00a2"",
    ""mark_value"": ""1"",
    ""units_required"": ""none""
  },
  {
    ""step_code"": ""Final answer"",
    ""step_summary"": ""State the two children who can each afford a 30\u00a2 candy"",
    ""evidence_required"": ""Chloe and Adriel"",
    ""mark_value"": ""2"",
    ""units_required"": ""none""
  }
]","The following rules from the Full Marking Guideline are needed to grade this question:

B) General marking standards  
3. All answers must be precise and exact unless otherwise stated.  

C) Common presentation errors  
5. Redundancy – Leading zero, trailing zero, and zero place holders  
   … (trailing zeros on number pattern can be accepted)  

D) Units related marking  
6. The usage of S and c for dollars and cents is acceptable. Not all students understand how to type $ and ¢.  
   E.g.  
   - 50c (correct)  
   - S100 (correct)  

E) Alternative format provided by students  
6. Money  
   Writing dollars and cents in words is acceptable; Interchanging of comma (,) and period (.) is not acceptable; Using unnecessary brackets is not acceptable  
   - $20 and 50¢ (Correct)  
   - 20 dollars and 50 cents (Correct)  
   - $2500 (Correct)  
   - $2 500 (Correct)  
   - $1,250.50 (Correct)  
   - $(10t) (Wrong)  
   - $1250,50 (Wrong)"
a009,3,"In a school trip to Penang, $\frac{1}{5}$ of the people who went
were teachers and the rest were students. $\frac{2}{3}$ of the
students were boys and the rest were girls. What fraction of the
people who attended the school trip were girls?","Number of the students $=$ 1 $-$ $\frac{1}{5}$ $=$
$\frac{4}{5}$

1 $-$ $\frac{2}{3}$ $=$ $\frac{1}{3}$ of the students are girls

Number of girls in fraction $=$ $\frac{1}{3}$ $\times$
$\frac{4}{5}$ $=$ $\frac{4}{15}$

Ans$:$ $\frac{4}{15}$","fraction of the people who attend the school trip were student
=1 -$\frac{1}{5}$
=$\frac{4}{5}$of the people who attend the school trip
fraction of the student who attended the school trip were girls
=1-$\frac{2}{3}$
=$\frac{1}{3}$ of the student who attended the school trip
fraction of the people who attended the school trip were girls
=$\frac{4}{5}$-$\frac{1}{3}$
=$\frac{12}{15}$-$\frac{5}{15}$
=$\frac{7}{15}$of the people who attended the school trip",2,2,High Confidence,"The steps correctly show 4/5 as students and 1/3 of students as girls, but the final combined fraction is incorrectly given as 7/15 instead of 4/15.","S1 step summary: Find fraction of all people who were students
Marker's rationale: The student's answer fully matches the solution because 4/5 is explicitly shown as the fraction of people who were students.

S2 step summary: Find fraction of students who were girls
Marker's rationale: The student's answer fully matches the solution because 1/3 is explicitly shown as the fraction of students who were girls.

Final answer step summary: Compute overall fraction of all people who were girls
Marker's rationale: The student's answer does not match the solution because the stated final fraction is 7/15, which is not equivalent to the required 4/15, even though units and format are acceptable.","[
  {
    ""step_code"": ""S1"",
    ""step_summary"": ""Find fraction of all people who were students"",
    ""evidence_required"": ""4/5"",
    ""mark_value"": ""1"",
    ""units_required"": ""none""
  },
  {
    ""step_code"": ""S2"",
    ""step_summary"": ""Find fraction of students who were girls"",
    ""evidence_required"": ""1/3"",
    ""mark_value"": ""1"",
    ""units_required"": ""none""
  },
  {
    ""step_code"": ""Final answer"",
    ""step_summary"": ""Compute overall fraction of all people who were girls"",
    ""evidence_required"": ""4/15"",
    ""mark_value"": ""3"",
    ""units_required"": ""none""
  }
]","Relevant rules to grade this question:

B) General marking standards  
1. All fractions and ratios must be left in the simplest form unless otherwise stated.  
3. All answers must be precise and exact unless otherwise stated.  

C) Common presentation errors  
1. Inappropriate use of equal signs  
   E.g.  
   - 40% = $300 (wrong)  
   - 4/10 = $300 (wrong)  
   - 0.4 = $300 (wrong)  
   - 3/4 = 4/5 (wrong)  
   - 7/11 = 0.636 (wrong)  
   - 7/11 ≈ 0.64 (correct)  

E) Alternative format provided by students  

1. Fractions  
Original answer: 1 2/3  
- 1 2/3 (Correct)  
- 1 2 (Correct)  
- 1 and 2 out of 3 (Correct)  
- 1 and 2 over 3 (Correct)  
- 12/3 (Wrong)  
- 1/2/3 (Wrong)"
a010,3,"An eraser cost \$$x$. A pen costs \$0.30 more than an eraser. A
ruler costs $0.10 less than a pen.<br>
How much would Ali need to buy 2 pens and 1 ruler?","Cost of each pen $=$ \$($x$ $+$ 0.30)

Cost of a ruler $=$ \$($x$ $+$ 0.30 $-$ 0.10) $=$ \$($x$ $+$
0.20)

Cost of 2 pens and 1 ruler $=$ \$($x$ $+$ 0.30) $+$ \$($x$ $+$
0.30) $+$ \$($x$ $+$ 0.20) $=$ \$(3$x$ $+$ 0.80)

Ans: \$(3$x$ $+$ 0.80)",$(x+0.80),0,0,High Confidence,"No expressions for a pen (x + 0.30) or ruler (x + 0.20) are provided, and the total is wrongly stated as (x + 0.80) without the required dollar unit and form; the correct total is (3x + 0.80).","S1 step summary: State the cost of one pen in terms of x
Marker's rationale: The student's answer does not match the solution because no expression for the cost of one pen, (x + 0.30), is present.

S2 step summary: State the cost of one ruler in terms of x
Marker's rationale: The student's answer does not match the solution because no expression for the cost of one ruler, (x + 0.20), is present.

Final answer step summary: Total cost for 2 pens and 1 ruler
Marker's rationale: The student's answer does not match the solution because it is (x + 0.80), which is not equivalent to (3x + 0.80) and lacks the required dollar unit and correct algebraic form.","[
  {
    ""step_code"": ""S1"",
    ""step_summary"": ""State the cost of one pen in terms of x"",
    ""evidence_required"": ""$(x + 0.30)"",
    ""mark_value"": ""1"",
    ""units_required"": ""none""
  },
  {
    ""step_code"": ""S2"",
    ""step_summary"": ""State the cost of one ruler in terms of x"",
    ""evidence_required"": ""$(x + 0.20)"",
    ""mark_value"": ""1"",
    ""units_required"": ""none""
  },
  {
    ""step_code"": ""Final answer"",
    ""step_summary"": ""Total cost for 2 pens and 1 ruler"",
    ""evidence_required"": ""$(3x + 0.80)"",
    ""mark_value"": ""3"",
    ""units_required"": ""$""
  }
]","Relevant rules for grading this question (retain section / rule numbers):

B) General marking standards  
3. All answers must be precise and exact unless otherwise stated.

C) Common presentation errors  
1. Inappropriate use of equal signs – avoid linking unequal quantities with “=”.  
3. Algebraic terms with coefficient 1 written will be marked down.  
   E.g. 1𝑎 + 3 (wrong) → 𝑎 + 3 (correct)  
4. Separate algebra terms with units that are given without brackets will be marked down.  
   E.g. 2𝑎 + 3 cm (wrong) → (2𝑎 + 3) cm (correct)  
5. Redundancy – Leading zero, trailing zero, and zero placeholders.  
   • 2.34 litres (correct) vs 2.340 litres (wrong) unless specified.  
   • 173.9 (correct) vs 173.90 (wrong) unless question specified 2 d.p.  
   Trailing zeros on number pattern can be accepted – 0.900 (correct).

D) Units related marking  
6. The usage of S and c for dollars and cents is acceptable. Not all students understand how to type $ and ¢.  
   E.g. 50c (correct) ; S100 (correct)

E) Alternative format provided by students  
6. Money  
   • Writing dollars and cents in words is acceptable; interchanging of comma (,) and period (.) is not acceptable; using unnecessary brackets is not acceptable.  
     – $20 and 50¢ (Correct)  
     – 20 dollars and 50 cents (Correct)  
     – $2500 / $2 500 (Correct)  
     – $(10t) (Wrong)  
     – $1250,50 (Wrong)

(≈180 words)"
